title,url,playlist_title,embed_code
[Xử lý ảnh] - Chương 1- tổng quan về xử lý ảnh - Phần 1,https://www.youtube.com/watch?v=qpxgR4cpJQg,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qpxgR4cpJQg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[Xử lý ảnh] - Chương 1. Tổng quan về xử lý ảnh - Phần 2,https://www.youtube.com/watch?v=86EZjQXki8I,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/86EZjQXki8I"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Hướng dẫn cài đặt Python và chèn thư viện OpenCV - hỗ trợ xử lý ảnh và nhận dạng,https://www.youtube.com/watch?v=BokEO0c8UOQ,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/BokEO0c8UOQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Chạy tệp lệnh Python có gọi thư viện của OpenCV,https://www.youtube.com/watch?v=F1NpkjlgPaE,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/F1NpkjlgPaE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Chạy tệp lệnh Python có gọi thư viện của OpenCV,https://www.youtube.com/watch?v=F1NpkjlgPaE,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/F1NpkjlgPaE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Hướng dẫn cài (chèn) thư viên Matplotlib vào Python,https://www.youtube.com/watch?v=aGZ3m0AklZE,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aGZ3m0AklZE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[coding python] - viết coding chuyển từ ảnh màu sang ảnh cấp xám - ảnh nhị phân,https://www.youtube.com/watch?v=Nh96k2Uibqw,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Nh96k2Uibqw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[coding python] - Thống kê histogram của ảnh và hiển thị,https://www.youtube.com/watch?v=mGUkrOdGhEU,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mGUkrOdGhEU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[coding python] - Biến đổi ảnh màu sang ảnh âm bản,https://www.youtube.com/watch?v=D1cjm3DjZFs,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/D1cjm3DjZFs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[Xử lý ảnh] - Phép nhân chập lên vùng ảnh sử dụng mẫu,https://www.youtube.com/watch?v=lI56X9VLZ54,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lI56X9VLZ54"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[Xử lý ảnh] - Lọc trung vị (Median filter),https://www.youtube.com/watch?v=jD_FxL5zsS0,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/jD_FxL5zsS0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[Xử lý ảnh] - Lọc trung bình (Mean Filter),https://www.youtube.com/watch?v=Fvz2koVN2zw,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Fvz2koVN2zw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
hoc truc tuyen XLA 17 3,https://www.youtube.com/watch?v=QVUWQkr2pRM,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QVUWQkr2pRM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[XỬ LÝ ẢNH] - HAI VÍ DỤ MINH HỌA CODING TRÊN PYTHON VỀ LỌC ẢNH TRÊN MIỀN FOURIER,https://www.youtube.com/watch?v=LpnYHm4XrPY,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LpnYHm4XrPY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[Xử lý ảnh] - chuong 5   Khôi phục ảnh,https://www.youtube.com/watch?v=IHN7hAjdWvs,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/IHN7hAjdWvs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Bài trắc nghiệm luyện thi XLA,https://www.youtube.com/watch?v=s2FFdIzkl-E,Xử lý ảnh,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/s2FFdIzkl-E"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Kiến trúc máy tính - Buổi 1 (Video bị mất tiếng),https://www.youtube.com/watch?v=urg3_WWKkPs,Kiến trúc máy tính,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/urg3_WWKkPs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Kiến trúc máy tính - Buổi 2,https://www.youtube.com/watch?v=LHogvL32egg,Kiến trúc máy tính,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LHogvL32egg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Kiến trúc máy tính  - Buổi 3,https://www.youtube.com/watch?v=sfl2jFVvbdY,Kiến trúc máy tính,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/sfl2jFVvbdY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Kiến trúc máy tính - Buổi 3 - P2,https://www.youtube.com/watch?v=3DoQA0Tbja0,Kiến trúc máy tính,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/3DoQA0Tbja0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
